timestamp ,open    ,high    ,low     ,close   ,adjusted close,volume    ,dividend amount
2019-11-12,144.2600,147.5700,142.9700,147.0700,147.0700      ,152390000 ,0.0000
2019-10-31,139.6600,145.6700,133.2200,143.3700,143.3700      ,549523400 ,0.0000
2019-09-30,136.6100,142.3700,134.5100,139.0300,139.0300      ,472544800 ,0.0000
2019-08-30,137.0000,140.9400,130.7800,137.8600,137.8600      ,584482000 ,0.4600
2019-07-31,136.6300,141.6800,134.6700,136.2700,135.8177      ,484079900 ,0.0000
2019-06-28,123.8500,138.4000,119.0100,133.9600,133.5154      ,508324300 ,0.0000
2019-05-31,130.5300,130.6500,123.0400,123.6800,123.2695      ,547218800 ,0.4600
2019-04-30,118.9500,131.3700,118.1000,130.6000,129.6865      ,433157700 ,0.0000
2019-03-29,112.8900,120.8200,108.8000,117.9400,117.1151      ,589095800 ,0.0000
2019-02-28,103.7750,113.2400,102.3500,112.0300,111.2464      ,469095900 ,0.4600
2019-01-31,99.5500 ,107.9000,97.2000 ,104.4300,103.2586      ,714212800 ,0.0000
2018-12-31,113.0000,113.4200,93.9600 ,101.5700,100.4306      ,944314600 ,0.0000
2018-11-30,107.0500,112.2409,99.3530 ,110.8900,109.6461      ,720228600 ,0.4600
2018-10-31,114.7500,116.1796,100.1100,106.8100,105.1576      ,927548000 ,0.0000
2018-09-28,110.8500,115.2900,107.2300,114.3700,112.6006      ,480255500 ,0.0000
2018-08-31,106.0300,112.7770,104.8400,112.3300,110.5922      ,456628100 ,0.4200
2018-07-31,98.1000 ,111.1500,98.0003 ,106.0800,104.0385      ,569352300 ,0.0000
2018-06-29,99.2800 ,102.6900,97.2600 ,98.6100 ,96.7123       ,602585200 ,0.0000
2018-05-31,93.2100 ,99.9900 ,92.4500 ,98.8400 ,96.9378       ,509417900 ,0.4200
2018-04-30,90.4584 ,97.9000 ,87.5100 ,93.5200 ,91.3244       ,668130700 ,0.0000
2018-03-29,93.9900 ,97.2400 ,87.0800 ,91.2700 ,89.1272       ,750754800 ,0.0000
2018-02-28,94.7900 ,96.0700 ,83.8357 ,93.7700 ,91.5685       ,725663300 ,0.4200
2018-01-31,86.1250 ,95.4500 ,85.5000 ,95.0100 ,92.3456       ,574258400 ,0.0000
2017-12-29,83.6000 ,87.5000 ,80.7000 ,85.5400 ,83.1412       ,466203300 ,0.0000
2017-11-30,83.6838 ,85.0600 ,82.2400 ,84.1700 ,81.8096       ,421926000 ,0.4200
2017-10-31,74.7100 ,86.2000 ,73.7100 ,83.1800 ,80.4434       ,449950000 ,0.0000
2017-09-29,74.7100 ,75.9664 ,72.9200 ,74.4900 ,72.0393       ,375983900 ,0.0000
2017-08-31,73.0925 ,74.9666 ,71.2800 ,74.7700 ,72.3101       ,444070500 ,0.3900
2017-07-31,69.3300 ,74.4200 ,68.0200 ,72.7000 ,69.9356       ,469851200 ,0.0000
2017-06-30,70.2400 ,72.8900 ,68.0900 ,68.9300 ,66.3089       ,629716800 ,0.0000
2017-05-31,68.6800 ,70.7400 ,67.1400 ,69.8400 ,67.1843       ,517218500 ,0.3900
2017-04-28,65.8100 ,69.1364 ,64.8500 ,68.4600 ,65.4814       ,433191200 ,0.0000
2017-03-31,64.1300 ,66.1900 ,63.6200 ,65.8600 ,62.9946       ,489169700 ,0.0000
2017-02-28,64.3550 ,65.2400 ,62.7500 ,63.9800 ,61.1964       ,440744000 ,0.3900
2017-01-31,62.7900 ,65.9100 ,61.9500 ,64.6500 ,61.4646       ,493453500 ,0.0000
2016-12-30,60.1100 ,64.1000 ,58.8000 ,62.1400 ,59.0783       ,513579700 ,0.0000
2016-11-30,59.9700 ,61.4100 ,57.2800 ,60.2600 ,57.2909       ,613056800 ,0.3900
2016-10-31,57.4050 ,61.3700 ,56.3150 ,59.9200 ,56.5854       ,614841800 ,0.0000
2016-09-30,57.0100 ,58.1900 ,55.6100 ,57.6000 ,54.3945       ,526427800 ,0.0000
2016-08-31,56.6000 ,58.7000 ,56.1400 ,57.4600 ,54.2623       ,467078900 ,0.3600
2016-07-29,51.1300 ,57.2900 ,50.3875 ,56.6800 ,53.1941       ,647587800 ,0.0000
2016-06-30,52.4400 ,52.9500 ,48.0350 ,51.1700 ,48.0230       ,823627000 ,0.0000
2016-05-31,50.0000 ,53.0000 ,49.4600 ,53.0000 ,49.7405       ,530704800 ,0.3600
2016-04-29,55.0475 ,56.7700 ,49.3500 ,49.8700 ,46.4779       ,699025700 ,0.0000
2016-03-31,50.9700 ,55.6400 ,50.5800 ,55.2300 ,51.4733       ,641110900 ,0.0000
2016-02-29,54.8800 ,55.0900 ,48.1900 ,50.8800 ,47.4192       ,814770900 ,0.3600
2016-01-29,54.3200 ,55.3900 ,49.1000 ,55.0900 ,50.9768       ,927914700 ,0.0000
2015-12-31,54.4100 ,56.8500 ,53.6800 ,55.4800 ,51.3377       ,792820900 ,0.0000
2015-11-30,52.8500 ,54.9800 ,52.5300 ,54.3500 ,50.2920       ,662626600 ,0.3600
2015-10-30,44.7500 ,54.3700 ,43.7500 ,52.6400 ,48.3836       ,856716800 ,0.0000
2015-09-30,42.1700 ,45.0000 ,41.6600 ,44.2600 ,40.6812       ,673079900 ,0.0000
2015-08-31,46.9800 ,48.4100 ,39.7200 ,43.5200 ,40.0010       ,776480300 ,0.3100
2015-07-31,44.4600 ,47.4000 ,43.3200 ,46.7000 ,42.6427       ,725458100 ,0.0000
2015-06-30,47.0600 ,47.7700 ,43.9400 ,44.1500 ,40.3143       ,664853400 ,0.0000
2015-05-29,48.5800 ,48.9050 ,46.0200 ,46.8600 ,42.7888       ,633072800 ,0.3100
2015-04-30,40.6000 ,49.5400 ,40.1200 ,48.6400 ,44.1274       ,874535300 ,0.0000
2015-03-31,43.6700 ,44.1900 ,40.5400 ,40.6550 ,36.8877       ,824335300 ,0.0000
2015-02-27,40.5900 ,44.3000 ,40.2300 ,43.8500 ,39.7818       ,656509700 ,0.3100
2015-01-30,46.6600 ,47.9100 ,40.3500 ,40.4000 ,36.3929       ,918966800 ,0.0000
2014-12-31,47.8800 ,49.0600 ,44.9000 ,46.4500 ,41.8428       ,626771200 ,0.0000
2014-11-28,46.8900 ,50.0450 ,46.7300 ,47.8100 ,43.0679       ,523005900 ,0.3100
2014-10-31,46.2700 ,46.9700 ,42.1000 ,46.9500 ,42.0281       ,853260900 ,0.0000
2014-09-30,45.4300 ,47.5700 ,44.5300 ,46.3600 ,41.5000       ,860827300 ,0.0000
2014-08-29,43.2100 ,45.4700 ,42.2100 ,45.4300 ,40.6675       ,513919700 ,0.2800
2014-07-31,41.8600 ,45.7100 ,41.0500 ,43.1600 ,38.3956       ,731616500 ,0.0000
2014-06-30,40.9500 ,42.2900 ,39.8600 ,41.7000 ,37.0968       ,555767300 ,0.0000
2014-05-30,40.2400 ,40.9700 ,38.5100 ,40.9400 ,36.4207       ,574362900 ,0.2800
2014-04-30,41.1500 ,41.6600 ,38.9000 ,40.4000 ,35.6885       ,746112500 ,0.0000
2014-03-31,37.9200 ,41.5000 ,37.4950 ,40.9900 ,36.2097       ,778425700 ,0.0000
2014-02-28,37.7400 ,38.4600 ,35.6900 ,38.3100 ,33.8422       ,705304500 ,0.2800
2014-01-31,37.3500 ,37.8900 ,34.6300 ,37.8400 ,33.1783       ,930226200 ,0.0000
2013-12-31,38.0900 ,38.9800 ,35.5300 ,37.4100 ,32.8013       ,826617700 ,0.0000
2013-11-29,35.6700 ,38.2900 ,35.3900 ,38.1300 ,33.4325       ,800431600 ,0.2800
2013-10-31,33.3500 ,36.2900 ,32.8000 ,35.4050 ,30.8139       ,965331500 ,0.0000
2013-09-30,31.7500 ,33.7500 ,30.9500 ,33.2800 ,28.9604       ,1242961500,0.0000
2013-08-30,32.0600 ,35.2000 ,30.8400 ,33.4000 ,29.0648       ,1051265000,0.2300
2013-07-31,34.7500 ,36.4300 ,31.0200 ,31.8400 ,27.5134       ,1111130600,0.0000
2013-06-28,34.9213 ,35.7800 ,32.5700 ,34.5450 ,29.8465       ,945155500 ,0.0000
2013-05-31,32.9300 ,35.2800 ,32.3200 ,34.9000 ,30.1576       ,1071860000,0.2300
2013-04-30,28.6400 ,33.1100 ,28.1100 ,33.1000 ,28.4031       ,1465757200,0.0000
2013-03-28,27.7200 ,28.6600 ,27.5200 ,28.6050 ,24.5502       ,844946000 ,0.0000
2013-02-28,27.6700 ,28.2000 ,27.1000 ,27.8000 ,23.8551       ,780587000 ,0.2300
2013-01-31,27.2500 ,28.2300 ,26.2800 ,27.4500 ,23.3614       ,1145054400,0.0000
2012-12-31,26.7796 ,27.7300 ,26.2600 ,26.7100 ,22.7316       ,947310900 ,0.0000
2012-11-30,28.8400 ,30.2000 ,26.3450 ,26.6150 ,22.6550       ,1310516100,0.2300
2012-10-31,29.8100 ,30.2500 ,27.7600 ,28.5400 ,24.0911       ,1105402300,0.0000
2012-09-28,30.4500 ,31.6098 ,29.7400 ,29.7600 ,25.1209       ,893107700 ,0.0000
2012-08-31,29.5900 ,30.9600 ,28.9700 ,30.8200 ,26.0157       ,671748400 ,0.2000
2012-07-31,30.6200 ,31.0500 ,28.5400 ,29.4700 ,24.7124       ,846604100 ,0.0000
2012-06-29,28.7600 ,31.1400 ,28.3200 ,30.5900 ,25.6516       ,973131400 ,0.0000
2012-05-31,32.0500 ,32.3354 ,28.6400 ,29.1900 ,24.4776       ,1014372600,0.2000
2012-04-30,32.2200 ,32.8900 ,30.2300 ,32.0150 ,26.6757       ,940739700 ,0.0000
2012-03-30,31.9300 ,32.9500 ,31.4900 ,32.2550 ,26.8756       ,942366500 ,0.0000
2012-02-29,29.7900 ,32.0000 ,29.7100 ,31.7400 ,26.4424       ,984332300 ,0.2000
2012-01-31,26.5500 ,29.9500 ,26.3900 ,29.5300 ,24.4404       ,1354858100,0.0000
2011-12-30,25.5600 ,26.1900 ,25.1600 ,25.9600 ,21.4857       ,1007166600,0.0000
2011-11-30,26.1900 ,27.2000 ,24.3000 ,25.5800 ,21.1712       ,1046207400,0.2000
2011-10-31,24.7200 ,27.5000 ,24.2600 ,26.6300 ,21.8755       ,1218142500,0.0000
2011-09-30,26.4600 ,27.5000 ,24.6000 ,24.8900 ,20.4461       ,1279920200,0.0000
2011-08-31,27.5100 ,27.6850 ,23.7900 ,26.6000 ,21.8508       ,1719339500,0.1600
2011-07-29,25.9300 ,28.1450 ,25.8400 ,27.4000 ,22.3668       ,1259328200,0.0000
2011-06-30,24.9900 ,26.0000 ,23.6484 ,26.0000 ,21.2240       ,1297757600,0.0000
2011-05-31,25.9400 ,26.2500 ,24.0300 ,25.0100 ,20.4159       ,1364062800,0.1600
2011-04-29,25.5300 ,26.8700 ,24.7200 ,25.9200 ,21.0209       ,1313844800,0.0000
2011-03-31,26.5983 ,26.7800 ,24.6800 ,25.3900 ,20.5911       ,1310885200,0.0000
2011-02-28,27.8000 ,28.3400 ,26.4300 ,26.5800 ,21.5562       ,1114368500,0.1600
2011-01-31,28.0500 ,29.4600 ,27.4200 ,27.7250 ,22.3567       ,1361258700,0.0000
2010-12-31,25.5700 ,28.4000 ,25.5600 ,27.9100 ,22.5018       ,1033710000,0.0000
2010-11-30,26.8800 ,27.4900 ,24.9300 ,25.2580 ,20.3653       ,1361176300,0.1600
2010-10-29,24.7700 ,27.2000 ,23.7800 ,26.6650 ,21.3708       ,1281432800,0.0000
2010-09-30,23.6700 ,25.5300 ,23.5400 ,24.4900 ,19.6239       ,1273139500,0.0000
2010-08-31,25.9900 ,26.3800 ,23.3200 ,23.4650 ,18.8066       ,1279372100,0.1300
2010-07-30,23.0900 ,26.4100 ,22.7300 ,25.8100 ,20.5719       ,1408590600,0.0000
2010-06-30,25.5300 ,26.9300 ,22.9500 ,23.0100 ,18.3401       ,1671811600,0.0000
2010-05-28,30.6700 ,31.0610 ,24.5600 ,25.8000 ,20.5639       ,1720130200,0.1300
2010-04-30,29.3500 ,31.5800 ,28.6200 ,30.5350 ,24.2326       ,1319029500,0.0000
2010-03-31,28.7700 ,30.5700 ,28.2394 ,29.2880 ,23.2408       ,1110237200,0.0000
2010-02-26,28.3900 ,29.0300 ,27.5700 ,28.6700 ,22.7488       ,1074643300,0.1300
2010-01-29,30.6200 ,31.2400 ,27.6621 ,28.1800 ,22.2559       ,1359650900,0.0000
2009-12-31,29.5200 ,31.5000 ,29.2500 ,30.4800 ,24.0724       ,920605500 ,0.0000
2009-11-30,27.6996 ,30.1400 ,27.4100 ,29.4100 ,23.2274       ,1018256700,0.1300
2009-10-30,25.4050 ,29.3500 ,24.4300 ,27.7300 ,21.8042       ,1523430100,0.0000
2009-09-30,24.3500 ,26.2500 ,23.7600 ,25.7200 ,20.2237       ,1038979700,0.0000
2009-08-31,23.8200 ,25.4900 ,23.0287 ,24.6500 ,19.3823       ,993250400 ,0.1300
2009-07-31,24.0500 ,25.7215 ,22.0000 ,23.5200 ,18.3904       ,1517459800,0.0000
2009-06-30,21.0000 ,24.3400 ,20.8600 ,23.7700 ,18.5859       ,1411144700,0.0000
2009-05-29,20.1900 ,20.9400 ,19.0100 ,20.8900 ,16.3340       ,1101122400,0.1300
2009-04-30,18.2300 ,21.2000 ,18.1800 ,20.2600 ,15.7414       ,1562400700,0.0000
2009-03-31,15.9600 ,18.8800 ,14.8700 ,18.3700 ,14.2730       ,1625752800,0.0000
2009-02-27,17.0300 ,19.9300 ,16.1000 ,16.1500 ,12.5481       ,1456213400,0.1300
2009-01-30,19.5330 ,21.0000 ,16.7500 ,17.1000 ,13.1957       ,1564043400,0.0000
2008-12-31,19.8750 ,21.2500 ,18.4700 ,19.4400 ,15.0015       ,1546943400,0.0000
2008-11-28,22.4800 ,23.6600 ,17.5000 ,20.2200 ,15.6034       ,1794911800,0.1300
2008-10-31,26.3800 ,27.4700 ,20.6500 ,22.3300 ,17.1157       ,3044579400,0.0000
2008-09-30,27.6650 ,27.7600 ,23.5000 ,26.6900 ,20.4576       ,1927538700,0.0000
2008-08-29,25.9200 ,28.5000 ,25.0700 ,27.2900 ,20.9174       ,1206949700,0.1100
2008-07-31,27.2650 ,27.9100 ,24.8700 ,25.7200 ,19.6357       ,1637501300,0.0000
2008-06-30,28.2400 ,29.5707 ,27.1100 ,27.5100 ,21.0023       ,1560439100,0.0000
2008-05-30,28.5000 ,30.5300 ,27.9500 ,28.3200 ,21.6207       ,1405170200,0.1100
2008-04-30,28.8300 ,32.1000 ,27.9300 ,28.5200 ,21.6935       ,1444720000,0.0000
2008-03-31,27.2400 ,29.5900 ,26.8700 ,28.3800 ,21.5870       ,1452390200,0.0000
2008-02-29,31.0550 ,33.2500 ,27.0200 ,27.2000 ,20.6895       ,2324580800,0.1100
2008-01-31,35.7900 ,35.9600 ,31.0400 ,32.6000 ,24.7010       ,1950301600,0.0000
2007-12-31,33.5000 ,36.7200 ,32.6300 ,35.6000 ,26.9741       ,1064817100,0.0000
2007-11-30,36.5300 ,37.5000 ,32.6800 ,33.6000 ,25.4587       ,1830846800,0.1100
2007-10-31,29.4589 ,37.0000 ,29.2900 ,36.8100 ,27.7990       ,1772076700,0.0000
2007-09-28,28.5000 ,29.8498 ,28.2700 ,29.4600 ,22.2482       ,1117419500,0.0000
2007-08-31,28.9500 ,30.1000 ,27.5100 ,28.7300 ,21.6969       ,1228579500,0.1000
2007-07-31,29.6700 ,31.8400 ,28.9500 ,28.9900 ,21.8168       ,1295548000,0.0000
2007-06-29,30.7900 ,30.9000 ,29.0400 ,29.4700 ,22.1781       ,1181412800,0.0000
2007-05-31,29.9400 ,31.1600 ,29.9000 ,30.6900 ,23.0962       ,1327154700,0.1000
2007-04-30,27.8900 ,30.7400 ,27.5600 ,29.9400 ,22.4590       ,958964900 ,0.0000
2007-03-30,27.8200 ,28.5500 ,26.6000 ,27.8700 ,20.9062       ,1269506500,0.0000
2007-02-28,30.8400 ,30.9400 ,27.7900 ,28.1700 ,21.1313       ,1290850900,0.1000
2007-01-31,29.9100 ,31.4800 ,29.4000 ,30.8600 ,23.0691       ,1324518200,0.0000
2006-12-29,29.2300 ,30.2600 ,28.8000 ,29.8600 ,22.3216       ,1137160900,0.0000
2006-11-30,28.7800 ,30.0000 ,28.5800 ,29.3600 ,21.9478       ,1239142000,0.1000
2006-10-31,27.3200 ,28.8500 ,27.1500 ,28.7100 ,21.3888       ,1290967400,0.0000
2006-09-29,25.8900 ,27.5200 ,25.3900 ,27.3500 ,20.3756       ,1097482600,0.0000
2006-08-31,24.0200 ,26.2500 ,23.8500 ,25.7000 ,19.1464       ,1134188400,0.0900
2006-07-31,23.5300 ,24.6000 ,22.2300 ,24.0600 ,17.8588       ,1332298100,0.0000
2006-06-30,22.7400 ,23.6500 ,21.4600 ,23.3000 ,17.2947       ,1971637200,0.0000
2006-05-31,24.3200 ,25.0000 ,22.4500 ,22.6500 ,16.8122       ,2309193400,0.0900
2006-04-28,27.6700 ,27.9410 ,24.0000 ,24.1500 ,17.8560       ,1446126900,0.0000
2006-03-31,26.9800 ,28.2200 ,26.6200 ,27.2100 ,20.1185       ,1437940900,0.0000
2006-02-28,27.9600 ,28.0700 ,26.3400 ,26.8700 ,19.8671       ,1047699000,0.0900
2006-01-31,26.2500 ,28.3800 ,26.1000 ,28.1500 ,20.7432       ,1388622700,0.0000
2005-12-30,27.7300 ,28.1000 ,26.1000 ,26.1500 ,19.2694       ,1271695500,0.0000
2005-11-30,25.6100 ,28.2478 ,25.6100 ,27.6800 ,20.3969       ,1444948300,0.0800
2005-10-31,25.7100 ,25.8000 ,24.2500 ,25.7000 ,18.8825       ,1439659900,0.0000
2005-09-30,27.3800 ,27.3900 ,25.1200 ,25.7300 ,18.9045       ,1348861500,0.0000
2005-08-31,25.8088 ,27.9400 ,25.7600 ,27.3800 ,20.1168       ,1441979300,0.0800
2005-07-29,24.8500 ,26.4800 ,24.5000 ,25.6100 ,18.7607       ,1321407700,0.0000
2005-06-30,25.7300 ,26.0000 ,24.8200 ,24.8400 ,18.1966       ,1303029500,0.0000
2005-05-31,25.2300 ,26.0900 ,24.6400 ,25.8000 ,18.8999       ,1270563700,0.0800
2005-04-29,24.2400 ,25.4512 ,23.9400 ,25.3000 ,18.4750       ,1520253700,0.0000
2005-03-31,25.1900 ,25.7905 ,23.8200 ,24.1700 ,17.6499       ,1541411300,0.0000
2005-02-28,26.2500 ,26.5000 ,25.1292 ,25.1600 ,18.3728       ,1361126000,0.0800
2005-01-31,26.8000 ,27.1017 ,25.6400 ,26.2800 ,19.1316       ,1521414300,0.0000
2004-12-31,26.9500 ,27.4400 ,26.6790 ,26.7200 ,19.4520       ,1803777700,0.0000
2004-11-30,28.1500 ,30.2008 ,26.1000 ,26.8100 ,19.5175       ,1739407300,3.0800
2004-10-29,27.8091 ,28.8900 ,27.4200 ,27.9700 ,18.2694       ,1300591200,0.0000
2004-09-30,27.2400 ,27.7900 ,26.7400 ,27.6500 ,18.0603       ,1141012300,0.0000
2004-08-31,28.2900 ,28.5500 ,25.9500 ,27.3000 ,17.8317       ,1094195300,0.0800
2004-07-30,28.6800 ,29.8900 ,27.2511 ,28.4900 ,18.5543       ,1550446900,0.0000
2004-06-30,26.1100 ,28.8000 ,25.8600 ,28.5600 ,18.5999       ,1534889700,0.0000
2004-05-28,26.2100 ,26.6000 ,25.4200 ,26.2300 ,17.0824       ,1141456900,0.0000
2004-04-30,24.9500 ,27.7200 ,24.8500 ,26.1300 ,17.0173       ,1558947800,0.0000
2004-03-31,26.6500 ,26.7200 ,24.0113 ,24.9300 ,16.2358       ,1703041000,0.0000
2004-02-27,27.6300 ,27.8000 ,26.3500 ,26.5300 ,17.2778       ,1032065600,0.0000
2004-01-30,27.5800 ,28.8300 ,27.2600 ,27.6500 ,18.0072       ,1232189000,0.0000
2003-12-31,25.9000 ,27.5500 ,25.5003 ,27.3700 ,17.8249       ,1476461300,0.0000
2003-11-28,26.3500 ,26.7500 ,24.8400 ,25.7100 ,16.7438       ,1442336700,0.0000
2003-10-31,28.0300 ,29.4600 ,25.9100 ,26.1400 ,17.0238       ,1400032500,0.1600
2003-09-30,26.7000 ,30.0000 ,26.4700 ,27.8000 ,18.0039       ,1253309100,0.0000
2003-08-29,26.3300 ,26.9500 ,25.4300 ,26.5200 ,17.1749       ,966506900 ,0.0000
2003-07-31,25.5900 ,27.8100 ,25.3900 ,26.4100 ,17.1037       ,1292011000,0.0000
2003-06-30,24.9800 ,26.5100 ,23.6000 ,25.6400 ,16.6050       ,1569995800,0.0000
2003-05-30,25.5400 ,26.5010 ,23.8900 ,24.6100 ,15.9380       ,1311003700,0.0000
2003-04-30,24.4700 ,26.4300 ,23.9500 ,25.5600 ,16.5597       ,1249617700,0.0000
2003-03-31,24.0200 ,26.9000 ,22.5500 ,24.2100 ,15.6789       ,1371902600,0.0000
2003-02-28,47.9300 ,49.1000 ,23.3000 ,23.7000 ,15.3487       ,1346970800,0.0800
2003-01-31,52.3000 ,57.3200 ,47.0300 ,47.4600 ,15.3188       ,1718662200,0.0000
2002-12-31,58.6500 ,58.9600 ,51.2600 ,51.7000 ,16.6874       ,1268370200,0.0000
2002-11-29,52.4300 ,58.6400 ,51.9000 ,57.6800 ,18.6176       ,1555997200,0.0000
2002-10-31,44.2500 ,54.0681 ,43.1900 ,53.4700 ,17.2587       ,2475370600,0.0000
2002-09-30,48.5200 ,51.1000 ,43.1170 ,43.7400 ,14.1181       ,1695705800,0.0000
2002-08-30,47.5800 ,53.4500 ,43.8000 ,49.0800 ,15.8417       ,1715757200,0.0000
2002-07-31,54.1200 ,54.9300 ,41.4100 ,47.9800 ,15.4867       ,2432188000,0.0000
2002-06-28,50.9900 ,56.4400 ,49.1700 ,54.7000 ,17.6557       ,1834073000,0.0000
2002-05-31,52.1600 ,56.4400 ,48.3530 ,50.9100 ,16.4324       ,1420266200,0.0000
2002-04-30,59.8300 ,60.4000 ,51.4400 ,52.2600 ,16.8681       ,1417479400,0.0000
2002-03-28,59.0500 ,65.0000 ,58.3100 ,60.3100 ,19.4665       ,1073244200,0.0000
2002-02-28,64.1500 ,64.5010 ,57.1500 ,58.3400 ,18.8306       ,1131159200,0.0000
2002-01-31,66.6500 ,70.6200 ,61.3300 ,63.7100 ,20.5639       ,1360115800,0.0000
2001-12-31,63.8300 ,69.8910 ,63.8000 ,66.2500 ,21.3837       ,977089000 ,0.0000
2001-11-30,60.0800 ,68.3400 ,59.6000 ,64.2100 ,20.7253       ,1330968600,0.0000
2001-10-31,50.9400 ,63.6300 ,50.4128 ,58.1500 ,18.7693       ,1750891000,0.0000
2001-09-28,57.1900 ,59.0800 ,47.5000 ,51.1700 ,16.5163       ,1510824400,0.0000
2001-08-31,66.8000 ,67.5400 ,56.3000 ,57.0500 ,18.4142       ,1153896400,0.0000
2001-07-31,72.0500 ,73.1500 ,64.2000 ,66.1900 ,21.3644       ,1455201000,0.0000
2001-06-29,69.6000 ,76.1500 ,66.0100 ,73.0000 ,23.5625       ,1449177800,0.0000
2001-05-31,67.6600 ,72.1500 ,67.2500 ,69.1800 ,22.3295       ,1777305800,0.0000
2001-04-30,54.8130 ,71.1000 ,51.0630 ,67.7500 ,21.8679       ,2075807000,0.0000
2001-03-30,58.5630 ,61.1250 ,49.7500 ,54.6880 ,17.6517       ,1895349800,0.0000
2001-02-28,60.8130 ,65.0630 ,53.8750 ,59.0000 ,19.0436       ,1536895600,0.0000
2001-01-31,44.1250 ,64.7500 ,42.8750 ,61.0630 ,19.7094       ,2005531200,0.0000
2000-12-29,58.0630 ,60.6248 ,40.2500 ,43.3750 ,14.0003       ,2056668200,0.0000
2000-11-30,68.5000 ,72.3750 ,57.0000 ,57.3750 ,18.5191       ,1983462600,0.0000
2000-10-31,60.5000 ,70.1250 ,48.4380 ,68.8750 ,22.2310       ,2469415600,0.0000
2000-09-29,70.0000 ,72.0630 ,58.6250 ,60.3130 ,19.4673       ,1425533800,0.0000
2000-08-31,69.9380 ,74.8750 ,68.1250 ,69.8130 ,22.5336       ,1219399800,0.0000
2000-07-31,79.6880 ,82.8750 ,67.2500 ,69.8130 ,22.5336       ,1234185800,0.0000
2000-06-30,64.3750 ,82.1880 ,63.8130 ,80.0000 ,25.8219       ,1467050200,0.0000
2000-05-31,72.8750 ,74.0000 ,60.3750 ,62.5630 ,20.1935       ,1344430800,0.0000
2000-04-28,94.4380 ,96.5000 ,65.0000 ,69.7500 ,22.5134       ,2258146600,0.0000
2000-03-31,89.6250 ,115.0000,88.9380 ,106.2500,34.2947       ,2028187600,0.0000
2000-02-29,98.5000 ,110.0000,88.1250 ,89.3750 ,28.8479       ,1334487600,0.0000
2000-01-31,117.3750,118.6250,94.8750 ,97.8750 ,31.5914       ,1274875200,0.0000
1999-12-31,91.0630 ,119.9300,90.8750 ,116.7500,37.6838       ,1260977800,0.0000
